state_ut,year,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_in_whose_cases_charge_sheets_were_laid_during_the_year,persons_under_trial_at_the_beginning_of_the_year,total_persons_under_trial_during_the_year,persons_whose_cases_were_withdrawn_or_otherwise_disposed_off_during_the_year,persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,persons_in_whose_cases_trials_were_completed_during_the_year,persons_convicted_during_the_year,persons_acquitted_during_the_year,percentage_of_persons_convicted_to_total_persons_in_whose_cases_trials_were_completed_during_the_year,persons_involved_in_the_cases_reported_for_regular_departmental_action_during_the_year,persons_involved_in_the_cases_reported_for_suitable_action_during_the_year,persons_punished_departmentally_during_the_year,persons_dismissed_from_service_during_the_year,persons_removed_from_service_during_the_year,persons_awarded_other_major_punishments_during_the_year,persons_awarded_minor_punishments_during_the_year,no_of_group_a_officers_out_of_above,no_of_group_b_officers_out_of_above,private_persons_involved_during_the_year
Arunachal Pradesh,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2005,222,0,221,1,65,66,0,65,1,1,0,0,0,0,0,0,0,0,0,0,2,0
Dadra & Nagar Haveli,2005,1,0,0,1,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,4,20,0
West Bengal,2005,32,0,32,0,56,56,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2006,838,625,775,687,3495,4182,39,3588,555,134,421,0,35,0,14,0,0,4,10,52,62,63
Haryana,2006,1014,407,989,334,2525,2859,59,2655,145,33,112,0,0,0,0,0,0,0,0,14,33,84
Punjab,2006,523,329,330,423,1244,1667,23,1393,251,62,189,0,0,8,1,1,0,0,0,0,0,61
Karnataka,2006,165,318,250,183,938,1121,11,848,262,27,235,0,145,1,10,9,1,0,0,48,57,11
Andhra Pradesh,2006,498,285,533,250,1218,1468,2,1200,266,149,117,0,15,0,84,65,2,8,9,0,0,4
Rajasthan,2006,436,251,390,297,2482,3599,0,3144,455,97,358,0,134,134,42,0,2,26,14,0,0,0
Odisha,2006,74,238,35,238,2514,2752,6,2549,197,55,142,0,178,15,10,0,0,8,2,55,40,93
Gujarat,2006,125,229,125,229,1694,1923,8,1492,423,130,293,0,0,1,1,1,0,0,0,0,0,24
Tamil Nadu,2006,733,135,811,57,627,684,1,642,41,20,21,0,3,0,20,2,1,2,15,3,38,6
Bihar,2006,16,129,13,132,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,32,71,48
Delhi,2006,160,116,169,107,573,680,2,628,50,37,13,0,105,0,0,0,0,0,0,4,8,26
Himachal Pradesh,2006,103,79,112,59,113,172,8,141,23,5,18,0,0,0,2,0,0,2,0,1,4,7
Uttar Pradesh,2006,135,78,152,61,436,497,0,476,21,0,21,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2006,54,50,70,34,215,249,0,228,21,6,15,0,0,0,0,0,0,0,0,0,8,4
Jammu & Kashmir,2006,53,39,39,53,2117,2170,1,2086,83,8,75,0,25,0,0,0,0,0,0,0,0,7
Kerala,2006,0,29,0,186,1237,1423,1,1380,42,26,16,0,18,4,0,0,0,0,0,0,0,125
Sikkim,2006,32,25,47,10,39,49,3,38,8,3,5,0,4,2,0,0,0,0,0,4,2,30
Chandigarh,2006,46,17,51,10,77,87,1,84,2,0,2,0,0,0,0,0,0,0,0,0,0,3
Jharkhand,2006,16,16,16,12,361,16,0,361,1,1,0,100,12,12,0,0,0,0,0,0,5,0
Uttarakhand,2006,19,11,27,3,15,18,0,18,0,0,0,0,1,0,0,0,0,0,0,0,2,0
Andaman & Nicobar Islands,2006,7,6,8,5,7,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2006,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Nagaland,2006,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2006,4,2,6,0,31,31,0,29,2,0,2,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2006,12,2,10,3,25,28,0,24,4,1,3,0,0,0,0,0,0,0,0,0,2,0
Tripura,2006,5,2,4,3,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2006,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Arunachal Pradesh,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2006,11,0,11,0,62,76,0,73,3,3,0,100,0,0,0,0,0,0,0,2,0,0
Dadra & Nagar Haveli,2006,0,0,0,0,3,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2006,1,0,0,1,8,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2006,0,0,0,179,884,1063,16,801,246,144,102,58.5,2,0,20,0,0,10,10,0,2,22
Manipur,2006,8,0,8,0,35,35,0,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0
West Bengal,2006,32,0,32,0,56,56,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2007,13,950,20,943,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,246,150,215
Maharashtra,2007,775,870,1188,453,3588,4041,21,3553,467,97,370,0,10,0,3,1,0,1,1,88,72,73
Punjab,2007,330,296,212,329,1393,1722,49,1450,223,70,153,0,0,3,0,9,0,0,0,0,0,88
Andhra Pradesh,2007,533,292,629,196,1200,1396,7,1091,298,188,110,0,90,0,0,14,2,45,2,0,0,5
Haryana,2007,989,285,940,307,2655,2962,26,2532,404,42,362,0,0,0,0,0,0,0,0,7,17,32
Karnataka,2007,250,284,181,252,848,1100,56,873,171,35,136,0,1,20,0,0,1,0,0,31,58,14
Odisha,2007,35,239,26,232,2549,2781,16,2641,124,46,78,0,62,27,0,1,2,3,4,93,90,193
Gujarat,2007,125,225,120,120,1492,1612,90,1028,494,167,327,87,5,9,4,0,0,0,4,27,11,19
Rajasthan,2007,390,223,377,548,2827,3692,0,3231,461,169,292,0,292,292,32,0,0,13,19,7,0,0
Tamil Nadu,2007,811,223,142,784,642,1426,46,1292,88,43,45,0,396,171,65,13,3,24,25,12,148,131
Himachal Pradesh,2007,186,177,184,119,426,545,26,417,105,1,88,0,5,6,0,0,0,0,0,10,46,105
Jammu & Kashmir,2007,39,131,0,160,2086,2246,26,2172,48,5,43,0,10,0,0,0,0,0,0,22,22,18
Uttar Pradesh,2007,152,130,168,115,476,591,0,576,15,2,13,0,0,0,0,0,0,0,0,0,0,0
Delhi,2007,169,64,162,71,628,699,2,611,86,44,42,0,53,0,0,0,0,0,0,2,1,12
Chandigarh,2007,51,29,67,13,84,97,2,87,8,3,5,0,0,0,0,0,0,0,0,0,0,19
Sikkim,2007,47,23,45,14,38,52,0,45,7,5,2,0,5,0,0,0,0,0,0,5,3,28
Chhattisgarh,2007,70,19,77,7,228,235,0,219,16,4,12,0,0,0,0,0,0,0,0,0,3,2
Puducherry,2007,10,18,28,0,24,24,0,18,6,6,0,0,0,0,0,0,0,0,0,0,2,0
Jharkhand,2007,15,15,15,18,377,15,0,392,0,0,0,0,19,19,0,0,0,0,0,0,12,0
Nagaland,2007,14,14,14,4,10,14,0,14,0,0,0,0,4,1,1,0,0,1,0,0,1,1
Kerala,2007,0,7,0,396,1380,1776,27,1651,98,62,36,0,16,31,0,0,0,0,0,4,39,141
Uttarakhand,2007,27,5,19,13,18,31,0,30,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Manipur,2007,8,4,8,4,35,39,0,39,0,0,0,0,0,0,0,0,0,0,0,3,0,0
West Bengal,2007,2,4,3,1,36,37,0,9,28,0,28,0,5,0,0,0,0,0,0,0,0,0
Meghalaya,2007,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
Goa,2007,6,1,7,0,29,29,0,23,6,0,6,0,0,0,0,0,0,0,0,0,0,1
Tripura,2007,4,1,4,1,4,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,12,0,12,1,9,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2007,11,0,11,2,76,78,0,76,3,3,1,0,0,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2007,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2007,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2007,0,0,0,155,874,1029,38,770,221,111,72,0,1,0,6,0,0,2,4,15,45,19
Mizoram,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Maharashtra,2008,1188,614,1148,641,3553,4194,23,3493,678,151,527,0,6,0,12,0,0,12,0,49,52,55
Odisha,2008,25,599,119,448,2641,3089,39,2895,155,61,94,39,66,6,0,7,3,6,5,93,66,111
Karnataka,2008,181,380,264,164,873,1037,3,928,125,20,106,16,81,81,0,4,0,0,0,52,46,30
Andhra Pradesh,2008,629,362,830,161,1091,1252,5,1017,230,151,79,0,0,0,0,4,1,45,29,0,0,62
Haryana,2008,940,335,901,347,2532,2879,52,2605,222,46,176,0,0,0,0,0,0,0,0,3,24,15
Tamil Nadu,2008,142,306,68,249,1292,1541,26,1349,166,63,103,0,266,140,0,13,2,27,47,15,138,106
Gujarat,2008,120,295,115,140,1028,1168,40,928,200,70,130,0,15,24,6,1,1,0,4,4,36,29
Punjab,2008,212,290,195,237,1450,1687,20,1421,246,80,166,0,0,17,0,23,0,0,0,0,0,106
Bihar,2008,20,227,31,216,959,1175,0,1166,9,8,1,0,0,0,0,0,0,0,0,5,56,25
Rajasthan,2008,377,227,335,635,3231,3866,0,3663,203,72,131,0,158,158,0,1,5,14,0,0,28,0
Himachal Pradesh,2008,209,153,206,115,514,629,0,526,103,12,91,0,3,3,0,0,0,0,0,0,0,66
Jammu & Kashmir,2008,0,131,0,131,2172,2303,2,2208,93,6,87,0,10,0,0,0,0,0,0,0,0,10
Delhi,2008,162,121,204,79,611,690,8,595,87,61,26,0,43,0,0,0,0,0,0,2,26,23
Uttar Pradesh,2008,168,76,134,110,576,686,0,666,20,3,17,0,0,0,0,0,0,0,0,0,0,0
Sikkim,2008,45,49,88,2,45,47,4,36,7,3,4,0,5,0,0,0,0,0,0,4,2,18
Chhattisgarh,2008,77,31,86,19,219,238,1,206,31,9,22,0,0,0,0,0,0,0,0,0,4,0
Jharkhand,2008,15,25,25,51,392,51,1,442,0,0,0,0,33,33,0,0,0,0,0,0,0,4
Nagaland,2008,14,23,32,5,14,19,0,17,2,1,1,0,32,12,0,0,0,0,12,8,4,4
Kerala,2008,0,22,0,193,1651,1844,72,1642,130,85,45,0,18,4,0,0,0,0,0,16,49,62
Mizoram,2008,6,11,14,1,0,1,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0
Chandigarh,2008,67,7,62,12,87,99,0,95,4,3,1,0,0,0,0,0,0,0,0,0,0,2
Uttarakhand,2008,19,4,20,3,30,33,0,32,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2008,12,2,12,2,10,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2008,7,2,4,5,23,28,0,27,1,0,1,0,0,0,0,0,0,0,0,0,0,2
Puducherry,2008,28,2,7,21,18,39,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2008,4,1,4,1,5,6,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2008,11,0,11,3,74,77,0,75,2,2,0,0,0,0,0,0,0,2,0,1,1,0
Dadra & Nagar Haveli,2008,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2008,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2008,0,0,0,3,16,20,0,20,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Madhya Pradesh,2008,0,0,0,185,928,1113,3,943,267,70,173,0,0,0,0,0,0,0,0,15,42,21
Manipur,2008,8,0,8,0,39,39,0,38,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2009,119,657,305,461,2895,3356,18,3147,191,86,105,0,74,24,26,9,7,7,3,74,87,96
Maharashtra,2009,1148,531,1015,651,3493,4144,34,3463,647,137,510,0,18,0,11,0,0,7,4,49,74,74
Karnataka,2009,264,430,636,344,928,1272,18,1309,165,29,115,17.5,41,79,2,2,0,0,0,41,74,28
Tamil Nadu,2009,68,408,258,156,1349,1505,20,1389,96,37,59,0,192,134,138,6,5,47,80,23,275,144
Andhra Pradesh,2009,830,323,895,258,1017,1275,3,1025,247,110,137,0,0,0,0,8,0,25,12,0,0,42
Gujarat,2009,115,276,144,247,928,1175,9,959,207,66,141,0,9,36,16,5,6,0,5,11,38,21
Himachal Pradesh,2009,206,239,272,170,526,701,2,524,175,14,161,0,1,0,0,0,0,0,0,13,8,96
Haryana,2009,1020,233,968,184,2522,2559,15,2219,420,104,316,0,0,0,16,16,0,0,0,5,10,40
Rajasthan,2009,335,228,381,432,3663,4095,0,4019,76,23,53,0,179,70,73,0,0,11,15,34,39,0
Bihar,2009,31,203,42,192,1166,1358,0,1353,5,3,2,50,0,0,0,0,0,0,0,7,40,21
Punjab,2009,195,182,57,265,1421,1686,17,1135,534,164,370,0,3,26,0,52,0,0,0,0,0,59
Jammu & Kashmir,2009,0,131,0,131,2172,2303,2,2208,93,6,87,0,10,0,0,0,0,0,0,0,0,10
Delhi,2009,204,95,226,73,595,668,4,572,92,50,42,0,33,0,0,0,0,0,0,11,18,8
Nagaland,2009,17,68,68,68,17,17,1,17,14,14,2,0,2,2,0,5,0,12,3,72,3,1
Chhattisgarh,2009,86,50,97,34,219,253,2,230,21,3,18,0,0,0,0,0,0,0,0,0,8,1
Uttar Pradesh,2009,134,43,118,59,666,725,0,714,11,4,7,0,0,0,0,0,0,0,0,0,0,0
Kerala,2009,0,28,0,213,398,455,12,0,150,71,60,0,32,7,5,0,1,1,3,7,83,173
Mizoram,2009,14,26,37,2,1,3,0,3,0,0,0,0,0,37,0,0,0,0,0,9,1,9
Jharkhand,2009,15,25,25,51,392,51,1,442,0,0,0,0,33,33,0,0,0,0,0,0,0,4
Chandigarh,2009,62,13,23,52,95,147,0,133,14,6,8,0,0,0,0,0,0,0,0,0,0,11
Sikkim,2009,88,12,77,13,36,49,0,49,0,0,0,0,5,0,0,0,0,0,0,1,2,8
Puducherry,2009,13,9,21,1,64,65,1,62,2,0,2,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2009,0,3,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,2009,20,3,16,7,32,39,0,38,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2009,4,2,4,1,4,5,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2009,12,0,14,2,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2009,11,0,11,4,75,79,0,79,3,1,2,0,0,0,0,0,0,0,0,2,2,0
Dadra & Nagar Haveli,2009,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2009,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2009,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2009,0,0,0,144,943,1087,3,1021,63,34,29,0,0,0,0,0,0,0,0,16,27,43
Manipur,2009,8,0,8,2,10,10,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2010,144,947,449,642,959,1601,0,1378,223,51,172,0,5,35,6,1,0,2,3,9,46,35
Odisha,2010,305,733,543,489,3147,3636,41,3286,309,98,211,0,212,68,54,21,1,22,10,100,451,147
Maharashtra,2010,1015,676,1016,645,3463,4108,83,3482,543,85,458,0,45,0,8,0,0,4,4,114,83,107
Karnataka,2010,636,497,639,368,1309,1677,50,1350,277,87,190,31.4,59,70,0,2,0,3,0,51,104,72
Punjab,2010,57,459,112,378,1135,1513,12,1122,379,104,275,0,13,22,0,0,45,0,0,0,0,35
Tamil Nadu,2010,258,296,173,322,1389,1711,38,1418,255,31,224,0,187,206,97,12,4,29,52,5,226,90
Andhra Pradesh,2010,895,245,873,267,1025,1292,28,1072,192,109,83,0,11,0,77,5,3,38,31,0,0,28
Rajasthan,2010,381,225,366,454,4019,4473,9,4338,135,14,121,0,183,69,12,0,0,7,5,80,46,0
Himachal Pradesh,2010,272,187,263,189,524,713,4,626,83,11,72,0,0,0,0,0,0,0,0,0,0,83
Bihar,2010,42,160,65,137,1353,1490,3,1475,12,10,2,90,0,0,0,0,0,0,0,3,42,15
Haryana,2010,968,114,929,119,2219,2338,17,1797,524,88,436,0,0,0,0,0,0,0,0,7,18,14
Jammu & Kashmir,2010,0,56,53,109,2208,2317,3,2279,35,4,31,0,18,0,0,0,0,0,0,0,0,11
Jharkhand,2010,52,52,77,0,0,52,0,77,0,1,1,0,311,311,12,0,0,4,8,54,86,53
Chhattisgarh,2010,97,49,118,28,230,258,3,246,9,4,5,0,0,0,0,0,0,0,0,0,8,4
Delhi,2010,226,44,251,19,572,591,10,449,132,61,71,0,34,0,0,0,0,0,0,2,4,4
Uttar Pradesh,2010,118,31,105,44,714,758,0,728,30,3,27,0,0,0,0,0,0,0,0,0,0,0
Kerala,2010,4,29,0,176,998,1174,6,0,117,71,46,0,41,2,20,10,0,2,8,47,99,187
Mizoram,2010,37,26,23,3,3,6,0,3,3,0,3,0,2,14,0,0,0,0,0,4,0,10
Sikkim,2010,77,24,85,10,49,59,0,58,1,0,1,0,2,0,0,0,0,0,0,3,4,13
Chandigarh,2010,23,12,23,12,133,145,0,153,13,8,5,0,0,0,0,0,0,0,0,0,0,7
Nagaland,2010,68,10,52,16,17,33,22,10,0,1,0,0,0,3,0,0,0,0,0,0,0,1
Goa,2010,3,8,11,0,23,23,0,22,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Puducherry,2010,9,6,15,3,62,65,1,61,3,1,2,0,0,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2010,14,3,3,8,14,22,0,22,0,0,0,0,8,0,0,0,0,0,0,0,0,0
Lakshadweep,2010,0,1,0,0,17,17,0,17,5,0,5,0,0,0,0,0,0,0,0,5,2,3
Manipur,2010,23,1,23,1,23,24,1,23,0,0,0,0,3,1,0,0,2,5,8,7,9,0
Meghalaya,2010,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2010,1,0,1,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2010,11,0,11,6,79,85,0,81,4,2,2,50,0,0,0,0,0,0,0,3,3,0
Dadra & Nagar Haveli,2010,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2010,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2010,0,0,0,132,1021,1153,24,1039,90,45,45,0,0,0,9,9,0,0,0,7,92,33
Tripura,2010,4,0,0,0,4,4,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,2010,16,0,16,0,38,38,0,36,2,2,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
