state_ut,year,cases_pending_investigation_from_previous_year,cases_registered,total_cases_for_investigation,no_of_cases_investigated,cases_pending_departmental_sanction_for_prosecution,cases_pending_investigation_at_the_end_of_the_year,cases_pending_trial_from_the_previous_year,total_cases_for_trial,cases_convicted,total_amount_of_fine_imposed_in_rs,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_under_trial_at_the_beginning_of_the_year,persons_convicted_during_the_year,persons_punished_departmentally_during_the_year,no_of_group_a_officers_out_of_above,no_of_group_b_officers_out_of_above,private_persons_involved_during_the_year
West Bengal,2005.0,25.0,0.0,25.0,25.0,0.0,25.0,25.0,25.0,0.0,0.0,32,0,32,56,0,0,0,0,0
Maharashtra,2006.0,536.0,476.0,1012.0,1012.0,176.0,682.0,2301.0,2635.0,102.0,2333300.0,838,625,775,3495,134,14,52,62,63
Rajasthan,2006.0,1006.0,377.0,1383.0,1383.0,245.0,873.0,1157.0,1508.0,44.0,227400.0,436,251,390,2482,97,42,0,0,0
Punjab,2006.0,522.0,312.0,834.0,358.0,174.0,476.0,1113.0,1378.0,50.0,233900.0,523,329,330,1244,62,1,0,0,61
Haryana,2006.0,214.0,307.0,521.0,355.0,25.0,325.0,532.0,732.0,26.0,152700.0,1014,407,989,2525,33,0,14,33,84
Karnataka,2006.0,196.0,288.0,484.0,484.0,121.0,276.0,578.0,736.0,22.0,204400.0,165,318,250,938,27,10,48,57,11
Odisha,2006.0,342.0,288.0,630.0,630.0,63.0,384.0,2263.0,2446.0,40.0,265500.0,74,238,35,2514,55,10,55,40,93
Andhra Pradesh,2006.0,232.0,234.0,466.0,352.0,32.0,116.0,1099.0,1322.0,148.0,529050.0,498,285,533,1218,149,84,0,0,4
Gujarat,2006.0,196.0,204.0,400.0,204.0,59.0,175.0,1315.0,1494.0,88.0,1103600.0,125,229,125,1694,130,1,0,0,24
Kerala,2006.0,531.0,122.0,653.0,653.0,20.0,521.0,441.0,516.0,25.0,1577000.0,0,29,0,1237,26,0,0,0,125
Tamil Nadu,2006.0,262.0,109.0,371.0,371.0,12.0,216.0,148.0,157.0,1.0,6000.0,733,135,811,627,20,20,3,38,6
Bihar,2006.0,227.0,104.0,331.0,331.0,60.0,220.0,372.0,443.0,1.0,0.0,16,129,13,0,1,0,32,71,48
Uttar Pradesh,2006.0,74.0,100.0,174.0,174.0,35.0,115.0,320.0,379.0,0.0,0.0,135,78,152,436,0,0,0,0,0
Jammu & Kashmir,2006.0,151.0,84.0,235.0,116.0,42.0,119.0,324.0,417.0,8.0,4025000.0,53,39,39,2117,8,0,0,0,7
Delhi,2006.0,155.0,82.0,237.0,83.0,25.0,152.0,350.0,432.0,29.0,491000.0,160,116,169,573,37,0,4,8,26
Chhattisgarh,2006.0,57.0,48.0,105.0,85.0,25.0,88.0,127.0,152.0,5.0,27500.0,54,50,70,215,6,0,0,8,4
Himachal Pradesh,2006.0,133.0,45.0,178.0,178.0,21.0,135.0,100.0,129.0,3.0,11400.0,103,79,112,113,5,2,1,4,7
Madhya Pradesh,2006.0,83.0,37.0,120.0,120.0,31.0,49.0,585.0,668.0,172.0,5592578.0,0,0,0,884,144,20,0,2,22
Jharkhand,2006.0,94.0,15.0,109.0,109.0,28.0,97.0,156.0,167.0,1.0,2000.0,16,16,16,361,1,0,0,5,0
Chandigarh,2006.0,18.0,13.0,31.0,31.0,0.0,23.0,18.0,26.0,0.0,0.0,46,17,51,77,0,0,0,0,3
Uttarakhand,2006.0,18.0,11.0,29.0,2.0,1.0,27.0,15.0,17.0,0.0,0.0,19,11,27,15,0,0,0,2,0
Sikkim,2006.0,33.0,10.0,43.0,43.0,0.0,30.0,25.0,30.0,3.0,0.0,32,25,47,39,3,0,4,2,30
Andaman & Nicobar Islands,2006.0,9.0,4.0,13.0,13.0,0.0,9.0,4.0,7.0,0.0,0.0,7,6,8,7,0,0,0,0,0
Puducherry,2006.0,4.0,4.0,8.0,8.0,5.0,2.0,11.0,14.0,3.0,3000.0,12,2,10,25,1,0,0,2,0
Tripura,2006.0,4.0,4.0,8.0,8.0,0.0,4.0,2.0,4.0,0.0,0.0,5,2,4,1,0,0,0,0,0
Assam,2006.0,78.0,2.0,80.0,80.0,19.0,70.0,30.0,38.0,2.0,24000.0,11,0,11,62,3,0,2,0,0
Mizoram,2006.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,3,3,3,2,0,0,1,1,2
Goa,2006.0,16.0,1.0,17.0,17.0,0.0,16.0,19.0,19.0,0.0,0.0,4,2,6,31,0,0,0,0,0
Manipur,2006.0,9.0,1.0,10.0,10.0,0.0,9.0,17.0,17.0,0.0,0.0,8,0,8,35,0,0,1,0,0
Meghalaya,2006.0,2.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2,1,2,0,0,1,0,0,0
Arunachal Pradesh,2006.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2000.0,0,0,0,3,1,0,0,0,0
Daman & Diu,2006.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1,0,0,8,0,0,0,0,0
Lakshadweep,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Nagaland,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0
West Bengal,2006.0,25.0,0.0,25.0,25.0,0.0,25.0,25.0,25.0,0.0,0.0,32,0,32,56,0,0,0,0,0
Maharashtra,2007.0,682.0,451.0,1133.0,1133.0,227.0,801.0,2223.0,2549.0,90.0,823100.0,775,870,1188,3588,97,3,88,72,73
Rajasthan,2007.0,873.0,350.0,1223.0,1223.0,262.0,836.0,1327.0,1596.0,56.0,630400.0,390,223,377,2827,169,32,7,0,0
Karnataka,2007.0,276.0,307.0,583.0,439.0,121.0,330.0,202.0,408.0,30.0,183500.0,250,284,181,848,35,0,31,58,14
Odisha,2007.0,384.0,286.0,670.0,670.0,62.0,389.0,2340.0,2593.0,37.0,297700.0,35,239,26,2549,46,0,93,90,193
Andhra Pradesh,2007.0,116.0,244.0,360.0,161.0,22.0,193.0,1060.0,1265.0,156.0,288100.0,533,292,629,1200,188,0,0,0,5
Haryana,2007.0,325.0,229.0,554.0,386.0,48.0,275.0,630.0,875.0,34.0,200350.0,989,285,940,2655,42,0,7,17,32
Tamil Nadu,2007.0,216.0,227.0,443.0,443.0,45.0,154.0,142.0,321.0,34.0,379000.0,811,223,142,642,43,65,12,148,131
Punjab,2007.0,476.0,189.0,665.0,231.0,147.0,434.0,1180.0,1378.0,60.0,281200.0,330,296,212,1393,70,0,0,0,88
Gujarat,2007.0,175.0,165.0,340.0,189.0,76.0,187.0,1178.0,1333.0,88.0,684500.0,125,225,120,1492,167,4,27,11,19
Bihar,2007.0,220.0,133.0,353.0,353.0,99.0,86.0,440.0,688.0,4.0,0.0,13,950,20,0,4,0,246,150,215
Uttar Pradesh,2007.0,115.0,129.0,244.0,244.0,43.0,88.0,360.0,486.0,1.0,0.0,152,130,168,476,2,0,0,0,0
Kerala,2007.0,521.0,128.0,649.0,649.0,24.0,476.0,481.0,599.0,47.0,2020200.0,0,7,0,1380,62,0,4,39,141
Jammu & Kashmir,2007.0,119.0,81.0,200.0,111.0,51.0,89.0,343.0,432.0,4.0,36000.0,39,131,0,2086,5,0,22,22,18
Himachal Pradesh,2007.0,245.0,66.0,315.0,315.0,23.0,209.0,276.0,356.0,1.0,10000.0,186,177,184,426,1,0,10,46,105
Delhi,2007.0,152.0,51.0,203.0,60.0,21.0,145.0,389.0,436.0,38.0,644500.0,169,64,162,628,44,0,2,1,12
Madhya Pradesh,2007.0,49.0,49.0,98.0,98.0,13.0,57.0,396.0,479.0,85.0,1151343.0,0,0,0,874,111,6,15,45,19
Chhattisgarh,2007.0,88.0,20.0,108.0,93.0,28.0,95.0,134.0,141.0,4.0,20000.0,70,19,77,228,4,0,0,3,2
Sikkim,2007.0,30.0,18.0,48.0,48.0,0.0,33.0,25.0,34.0,5.0,35500.0,47,23,45,38,5,0,5,3,28
Jharkhand,2007.0,97.0,16.0,113.0,113.0,13.0,91.0,168.0,192.0,0.0,0.0,15,15,15,377,0,0,0,12,0
Chandigarh,2007.0,23.0,8.0,31.0,31.0,0.0,26.0,24.0,33.0,3.0,0.0,51,29,67,84,3,0,0,0,19
Puducherry,2007.0,3.0,6.0,9.0,9.0,0.0,9.0,8.0,8.0,1.0,55000.0,10,18,28,24,6,0,0,2,0
Andaman & Nicobar Islands,2007.0,9.0,5.0,14.0,14.0,0.0,12.0,7.0,8.0,0.0,0.0,12,0,12,9,0,0,0,0,0
Mizoram,2007.0,4.0,4.0,12.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,0
Uttarakhand,2007.0,27.0,4.0,31.0,12.0,0.0,19.0,17.0,29.0,0.0,0.0,27,5,19,18,0,0,0,0,0
Manipur,2007.0,9.0,3.0,12.0,12.0,0.0,8.0,17.0,21.0,0.0,0.0,8,4,8,35,0,0,3,0,0
Meghalaya,2007.0,3.0,2.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,2,0,3
Nagaland,2007.0,9.0,2.0,11.0,11.0,2.0,10.0,2.0,3.0,0.0,0.0,14,14,14,10,0,1,0,1,1
West Bengal,2007.0,4.0,2.0,6.0,6.0,2.0,3.0,20.0,21.0,0.0,0.0,2,4,3,36,0,0,0,0,0
Assam,2007.0,80.0,1.0,81.0,81.0,19.0,80.0,38.0,40.0,3.0,15500.0,11,0,11,76,3,0,0,0,0
Goa,2007.0,16.0,1.0,17.0,17.0,0.0,16.0,18.0,18.0,0.0,0.0,6,1,7,29,0,0,0,0,1
Tripura,2007.0,4.0,1.0,5.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,4,1,4,4,0,0,0,0,0
Arunachal Pradesh,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0,0,0,2,0,0,0,0,0
Daman & Diu,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0,0,0,9,0,0,0,0,0
Lakshadweep,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Maharashtra,2008.0,801.0,390.0,1191.0,1191.0,261.0,814.0,2171.0,2539.0,116.0,840350.0,1188,614,1148,3553,151,12,49,52,55
Karnataka,2008.0,330.0,389.0,719.0,719.0,119.0,623.0,805.0,969.0,17.0,281391.0,181,380,264,873,20,0,52,46,30
Andhra Pradesh,2008.0,193.0,330.0,523.0,249.0,18.0,280.0,1012.0,1144.0,118.0,440750.0,629,362,830,1091,151,0,0,0,62
Rajasthan,2008.0,836.0,327.0,1163.0,1163.0,260.0,719.0,1439.0,1794.0,52.0,476200.0,377,227,335,3231,72,0,0,28,0
Tamil Nadu,2008.0,154.0,323.0,477.0,477.0,55.0,347.0,242.0,402.0,46.0,373000.0,142,306,68,1292,63,0,15,138,106
Odisha,2008.0,389.0,303.0,692.0,692.0,114.0,536.0,2481.0,2691.0,54.0,3311800.0,25,599,119,2641,61,0,93,66,111
Haryana,2008.0,275.0,226.0,501.0,379.0,60.0,228.0,730.0,976.0,37.0,144750.0,940,335,901,2532,46,0,3,24,15
Punjab,2008.0,434.0,196.0,630.0,178.0,135.0,452.0,1173.0,1298.0,55.0,364400.0,212,290,195,1450,80,0,0,0,106
Gujarat,2008.0,187.0,186.0,373.0,190.0,83.0,187.0,1061.0,1244.0,62.0,479000.0,120,295,115,1028,70,6,4,36,29
Kerala,2008.0,476.0,149.0,625.0,625.0,32.0,423.0,529.0,637.0,25.0,1380000.0,0,22,0,1651,85,0,16,49,62
Bihar,2008.0,86.0,116.0,202.0,202.0,70.0,129.0,684.0,772.0,8.0,23000.0,20,227,31,959,8,0,5,56,25
Himachal Pradesh,2008.0,227.0,95.0,322.0,322.0,26.0,242.0,267.0,373.0,12.0,77000.0,209,153,206,514,12,0,0,0,66
Uttar Pradesh,2008.0,88.0,85.0,173.0,173.0,28.0,84.0,470.0,564.0,3.0,0.0,168,76,134,576,3,0,0,0,0
Jammu & Kashmir,2008.0,89.0,52.0,141.0,57.0,31.0,84.0,392.0,454.0,69.0,260675.0,0,131,0,2172,6,0,0,0,10
Delhi,2008.0,145.0,45.0,190.0,76.0,23.0,124.0,371.0,417.0,51.0,463000.0,162,121,204,611,61,0,2,26,23
Madhya Pradesh,2008.0,57.0,41.0,98.0,98.0,10.0,84.0,344.0,386.0,53.0,5660951.0,0,0,0,928,70,0,15,42,21
Chhattisgarh,2008.0,95.0,27.0,122.0,119.0,40.0,85.0,129.0,147.0,9.0,32300.0,77,31,86,219,9,0,0,4,0
Jharkhand,2008.0,97.0,27.0,124.0,124.0,17.0,97.0,38.0,62.0,0.0,0.0,15,25,25,392,0,0,0,0,4
Sikkim,2008.0,33.0,22.0,55.0,55.0,0.0,50.0,27.0,29.0,3.0,9000.0,45,49,88,45,3,0,4,2,18
Chandigarh,2008.0,26.0,11.0,37.0,37.0,0.0,29.0,25.0,33.0,3.0,0.0,67,7,62,87,3,0,0,0,2
Nagaland,2008.0,10.0,7.0,17.0,17.0,3.0,16.0,0.0,14.0,1.0,0.0,14,23,32,14,1,0,8,4,4
Puducherry,2008.0,9.0,5.0,14.0,14.0,0.0,5.0,7.0,15.0,0.0,0.0,28,2,7,18,0,0,0,0,0
Andaman & Nicobar Islands,2008.0,12.0,4.0,16.0,16.0,0.0,12.0,8.0,10.0,0.0,0.0,12,2,12,10,0,0,0,0,0
Manipur,2008.0,8.0,4.0,12.0,12.0,2.0,12.0,21.0,21.0,0.0,0.0,8,0,8,39,0,0,0,0,0
Mizoram,2008.0,4.0,4.0,8.0,2.0,0.0,4.0,1.0,2.0,0.0,0.0,6,11,14,0,0,0,0,0,0
Uttarakhand,2008.0,19.0,3.0,22.0,3.0,0.0,19.0,28.0,31.0,0.0,0.0,19,4,20,30,0,0,0,0,0
Tripura,2008.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,5.0,0.0,0.0,4,1,4,5,0,0,0,0,0
Goa,2008.0,16.0,1.0,17.0,17.0,0.0,16.0,15.0,16.0,0.0,0.0,7,2,4,23,0,0,0,0,2
Meghalaya,2008.0,2.0,1.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2008.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Assam,2008.0,80.0,0.0,80.0,80.0,16.0,74.0,3.0,0.0,0.0,0.0,11,0,11,74,2,0,1,1,0
Dadra & Nagar Haveli,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0,0,0,2,0,0,0,0,0
Daman & Diu,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0,0,0,9,0,0,0,0,0
Lakshadweep,2008.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,5.0,0.0,0.0,0,0,0,16,0,0,2,0,2
West Bengal,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2009.0,347.0,498.0,845.0,845.0,90.0,492.0,308.0,464.0,26.0,149300.0,68,408,258,1349,37,138,23,275,144
Maharashtra,2009.0,814.0,414.0,1228.0,1228.0,218.0,724.0,2042.0,2527.0,106.0,727950.0,1148,531,1015,3493,137,11,49,74,74
Karnataka,2009.0,623.0,395.0,1018.0,1018.0,182.0,696.0,844.0,1138.0,27.0,206000.0,264,430,636,928,29,2,41,74,28
Odisha,2009.0,536.0,375.0,911.0,911.0,120.0,656.0,2541.0,2770.0,68.0,2538400.0,119,657,305,2895,86,26,74,87,96
Rajasthan,2009.0,719.0,336.0,1055.0,1055.0,236.0,740.0,1670.0,1893.0,23.0,397300.0,335,228,381,3663,23,73,34,39,0
Andhra Pradesh,2009.0,280.0,322.0,602.0,306.0,38.0,293.0,965.0,1175.0,92.0,440750.0,830,323,895,1017,110,0,0,0,42
Kerala,2009.0,423.0,198.0,621.0,621.0,24.0,508.0,809.0,893.0,48.0,9153000.0,0,28,0,398,71,5,7,83,173
Gujarat,2009.0,187.0,183.0,370.0,215.0,76.0,175.0,1061.0,1257.0,53.0,0.0,115,276,144,928,66,16,11,38,21
Himachal Pradesh,2009.0,242.0,163.0,405.0,405.0,25.0,296.0,329.0,422.0,9.0,318000.0,206,239,272,526,14,0,13,8,96
Punjab,2009.0,452.0,162.0,614.0,245.0,125.0,369.0,1117.0,1285.0,117.0,547800.0,195,182,57,1421,164,0,0,0,59
Bihar,2009.0,129.0,129.0,258.0,258.0,98.0,175.0,763.0,877.0,3.0,12000.0,31,203,42,1166,3,0,7,40,21
Haryana,2009.0,233.0,128.0,359.0,283.0,14.0,196.0,779.0,929.0,66.0,736750.0,1020,233,968,2522,104,16,5,10,40
Madhya Pradesh,2009.0,84.0,100.0,184.0,184.0,13.0,132.0,250.0,298.0,26.0,1371500.0,0,0,0,943,34,0,16,27,43
Jammu & Kashmir,2009.0,185.0,61.0,246.0,89.0,36.0,157.0,428.0,468.0,11.0,1285000.0,0,131,0,2172,6,0,0,0,10
Chhattisgarh,2009.0,85.0,49.0,134.0,131.0,22.0,116.0,118.0,149.0,3.0,15000.0,86,50,97,219,3,0,0,8,1
Uttar Pradesh,2009.0,84.0,48.0,132.0,132.0,23.0,91.0,548.0,599.0,6.0,0.0,134,43,118,666,4,0,0,0,0
Delhi,2009.0,124.0,45.0,169.0,25.0,14.0,154.0,348.0,369.0,44.0,6150000.0,204,95,226,595,50,0,11,18,8
Jharkhand,2009.0,97.0,27.0,124.0,124.0,17.0,97.0,38.0,62.0,0.0,0.0,15,25,25,392,0,0,0,0,4
Nagaland,2009.0,26.0,9.0,35.0,35.0,3.0,13.0,8.0,15.0,12.0,0.0,17,68,68,17,14,0,72,3,1
Chandigarh,2009.0,29.0,8.0,37.0,2.0,0.0,17.0,30.0,46.0,4.0,0.0,62,13,23,95,6,0,0,0,11
Sikkim,2009.0,50.0,8.0,58.0,58.0,0.0,48.0,22.0,26.0,0.0,0.0,88,12,77,36,0,0,1,2,8
Arunachal Pradesh,2009.0,3.0,7.0,10.0,10.0,1.0,7.0,0.0,2.0,0.0,0.0,0,3,1,0,0,0,0,0,0
Mizoram,2009.0,4.0,6.0,10.0,2.0,0.0,8.0,2.0,4.0,0.0,0.0,14,26,37,1,0,0,9,1,9
Puducherry,2009.0,18.0,4.0,22.0,22.0,2.0,21.0,26.0,27.0,0.0,0.0,13,9,21,64,0,0,0,0,0
Assam,2009.0,74.0,3.0,77.0,77.0,12.0,71.0,38.0,41.0,1.0,5000.0,11,0,11,75,1,0,2,2,0
Andaman & Nicobar Islands,2009.0,12.0,2.0,14.0,14.0,1.0,11.0,10.0,11.0,0.0,0.0,12,0,14,12,0,0,0,0,0
Uttarakhand,2009.0,19.0,2.0,21.0,7.0,0.0,14.0,30.0,37.0,1.0,0.0,20,3,16,32,1,0,0,0,0
Tripura,2009.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,5.0,0.0,0.0,4,2,4,4,0,0,0,0,0
Dadra & Nagar Haveli,2009.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0,0,0,9,0,0,0,0,0
Daman & Diu,2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,9,0,0,0,0,0
Goa,2009.0,5.0,0.0,5.0,5.0,0.0,5.0,1.0,1.0,0.0,0.0,1,0,1,1,0,0,0,0,0
Lakshadweep,2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Manipur,2009.0,12.0,0.0,12.0,12.0,0.0,9.0,2.0,0.0,0.0,0.0,8,0,8,10,0,0,0,0,0
Meghalaya,2009.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
West Bengal,2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Rajasthan,2010.0,740.0,576.0,1316.0,1316.0,196.0,965.0,1817.0,2098.0,11.0,33750.0,381,225,366,4019,14,12,80,46,0
Maharashtra,2010.0,724.0,528.0,1252.0,1252.0,250.0,780.0,2042.0,2488.0,68.0,383000.0,1015,676,1016,3463,85,8,114,83,107
Karnataka,2010.0,696.0,434.0,1130.0,1124.0,190.0,720.0,984.0,1307.0,63.0,3786500.0,636,497,639,1309,87,0,51,104,72
Odisha,2010.0,656.0,430.0,1086.0,1086.0,136.0,776.0,2623.0,2943.0,76.0,637000.0,305,733,543,3147,98,54,100,451,147
Tamil Nadu,2010.0,492.0,354.0,846.0,846.0,91.0,390.0,399.0,657.0,24.0,157650.0,258,296,173,1389,31,97,5,226,90
Andhra Pradesh,2010.0,293.0,272.0,565.0,261.0,19.0,305.0,1022.0,1233.0,90.0,324700.0,895,245,873,1025,109,77,0,0,28
Gujarat,2010.0,175.0,223.0,398.0,223.0,50.0,192.0,1107.0,1307.0,45.0,470000.0,144,947,449,959,51,6,9,46,35
Kerala,2010.0,538.0,181.0,719.0,719.0,34.0,520.0,827.0,908.0,30.0,3644800.0,4,29,0,998,71,20,47,99,187
Himachal Pradesh,2010.0,296.0,110.0,406.0,406.0,25.0,259.0,373.0,512.0,10.0,268500.0,272,187,263,524,11,0,0,0,83
Madhya Pradesh,2010.0,132.0,107.0,239.0,239.0,12.0,145.0,256.0,334.0,17.0,5071000.0,0,0,0,1021,45,9,7,92,33
Punjab,2010.0,369.0,107.0,476.0,264.0,76.0,210.0,912.0,1094.0,89.0,596600.0,57,459,112,1135,104,0,0,0,35
Bihar,2010.0,175.0,99.0,274.0,274.0,97.0,185.0,870.0,969.0,10.0,593200.0,42,160,65,1353,10,0,3,42,15
Haryana,2010.0,196.0,79.0,275.0,204.0,34.0,184.0,656.0,755.0,72.0,458800.0,968,114,929,2219,88,0,7,18,14
Jharkhand,2010.0,64.0,71.0,135.0,41.0,0.0,94.0,48.0,71.0,1.0,0.0,52,52,77,0,1,12,54,86,53
Jammu & Kashmir,2010.0,157.0,70.0,227.0,73.0,31.0,154.0,431.0,489.0,4.0,72000.0,0,56,53,2208,4,0,0,0,11
Chhattisgarh,2010.0,116.0,49.0,165.0,152.0,27.0,132.0,131.0,155.0,4.0,11000.0,97,49,118,230,4,0,0,8,4
Delhi,2010.0,154.0,39.0,193.0,17.0,22.0,176.0,305.0,316.0,53.0,1217000.0,226,44,251,572,61,0,2,4,4
Uttar Pradesh,2010.0,91.0,30.0,121.0,121.0,43.0,125.0,586.0,637.0,67.0,0.0,118,31,105,714,3,0,0,0,0
Nagaland,2010.0,32.0,23.0,55.0,55.0,2.0,20.0,8.0,11.0,0.0,0.0,68,10,52,17,1,0,0,0,1
Mizoram,2010.0,8.0,9.0,17.0,13.0,2.0,9.0,4.0,7.0,0.0,0.0,37,26,23,3,0,0,4,0,10
Sikkim,2010.0,48.0,9.0,57.0,57.0,0.0,45.0,26.0,31.0,0.0,0.0,77,24,85,49,0,0,3,4,13
Assam,2010.0,71.0,5.0,76.0,76.0,11.0,64.0,38.0,44.0,2.0,30000.0,11,0,11,79,2,0,3,3,0
Lakshadweep,2010.0,0.0,5.0,5.0,5.0,2.0,3.0,4.0,4.0,0.0,0.0,0,1,0,17,0,0,5,2,3
Andaman & Nicobar Islands,2010.0,11.0,4.0,15.0,15.0,1.0,11.0,11.0,12.0,0.0,0.0,14,3,3,14,0,0,0,0,0
Chandigarh,2010.0,17.0,3.0,20.0,20.0,4.0,14.0,37.0,42.0,6.0,0.0,23,12,23,133,8,0,0,0,7
Puducherry,2010.0,21.0,3.0,24.0,24.0,3.0,22.0,25.0,27.0,1.0,0.0,9,6,15,62,1,0,0,0,0
Goa,2010.0,11.0,1.0,12.0,11.0,0.0,11.0,13.0,13.0,0.0,0.0,3,8,11,23,0,0,0,0,1
Manipur,2010.0,23.0,1.0,24.0,24.0,0.0,24.0,23.0,24.0,0.0,0.0,23,1,23,23,0,0,7,9,0
Arunachal Pradesh,2010.0,7.0,0.0,7.0,7.0,0.0,7.0,2.0,2.0,0.0,0.0,1,0,1,2,0,0,0,0,0
Dadra & Nagar Haveli,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0,0,0
Daman & Diu,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0,0,0,9,0,0,0,0,0
Meghalaya,2010.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0
Tripura,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4,0,0,4,0,0,0,0,0
Uttarakhand,2010.0,14.0,0.0,14.0,0.0,0.0,14.0,36.0,36.0,2.0,0.0,16,0,16,38,2,0,0,0,0
West Bengal,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2003.0,,,,,,,,,,,37,14,214,306,2,0,0,0,38
